name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brand,car_age,selling_price
Maruti Ritz VDi,2016,110000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5,Maruti,10,475000
Hyundai Grand i10 1.2 CRDi Asta,2018,29000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5,Hyundai,8,700000
Maruti Wagon R VXI BS IV,2011,60000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5,Maruti,15,376000
Hyundai Santro GS zipDrive - Euro I,2002,120000,Petrol,Individual,Manual,Fourth & Above Owner,19.3,1248.0,82.0,5,Hyundai,24,100000
Maruti 800 Std BSII,2004,46000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796.0,37.0,4,Maruti,22,75000
Mahindra Scorpio VLS AT 2.2 mHAWK,2012,120000,Diesel,Individual,Automatic,Third Owner,11.79,2179.0,120.0,8,Mahindra,14,440000
Maruti Wagon R VXI Optional,2016,80000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5,Maruti,10,390000
Toyota Innova 2.5 VX 7 STR,2012,159000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,7,Toyota,14,725000
Mahindra Bolero 2011-2019 SLE,2012,110000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7,Mahindra,14,325000
Maruti Alto LXi,2010,75000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,Maruti,16,170000
Maruti Swift Dzire LDi,2010,120000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5,Maruti,16,215000
Honda City 1.5 V Inspire,2010,110000,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5,Honda,16,350000
Chevrolet Spark 1.0 LS,2009,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.0,995.0,62.0,5,Chevrolet,17,80000
Hyundai EON Magna Plus,2012,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5,Hyundai,14,195000
Maruti Swift VDI BSIV W ABS,2011,85000,Diesel,Individual,Manual,First Owner,19.3,1248.0,82.0,5,Maruti,15,280000
Nissan Sunny Diesel XL,2014,71000,Diesel,Dealer,Manual,First Owner,21.64,1461.0,84.8,5,Nissan,12,335000
Mahindra XUV500 W6 2WD,2011,108000,Diesel,Dealer,Manual,First Owner,16.0,2179.0,140.0,7,Mahindra,15,475000
Renault Duster 85PS Diesel RxL,2015,75000,Diesel,Dealer,Manual,First Owner,19.87,1461.0,83.8,5,Renault,11,484999
Maruti Ciaz Delta BSIV,2018,22000,Petrol,Individual,Manual,Second Owner,21.56,1462.0,103.25,5,Maruti,8,650000
Audi Q5 3.0 TDI Quattro,2014,76131,Diesel,Individual,Automatic,First Owner,13.22,2967.0,241.4,5,Audi,12,1850000
Hyundai i20 1.2 Asta,2018,30000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5,Hyundai,8,700000
Audi Q7 3.0 TDI Quattro,2014,65000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7,Audi,12,3000000
Mahindra Scorpio S3 9 Seater BSIV,2018,60000,Diesel,Individual,Manual,First Owner,15.4,2523.0,75.0,7,Mahindra,8,900000
Volkswagen Polo Diesel Highline 1.2L,2013,80000,Diesel,Individual,Manual,First Owner,22.07,1199.0,73.9,5,Volkswagen,13,350000
Honda Accord V6 AT,2005,80000,Petrol,Individual,Automatic,Second Owner,9.0,2997.0,218.0,5,Honda,21,285000
Audi Q7 3.0 TDI Quattro Premium Plus,2012,70000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7,Audi,14,1850000
Maruti Vitara Brezza VDi,2017,51777,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5,Maruti,9,750000
Honda Amaze V Petrol BSIV,2018,20000,Petrol,Individual,Manual,First Owner,19.5,1199.0,88.76,5,Honda,8,600000
Volkswagen Polo 2015-2019 1.0 MPI Comfortline,2018,19000,Petrol,Individual,Manual,First Owner,18.78,999.0,75.0,5,Volkswagen,8,565000
Daewoo Matiz SS,2000,46951,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5,Daewoo,26,86000
Datsun GO T BSIV,2016,19000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5,Datsun,10,329000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2016,50000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5,Ford,10,650000
Hyundai Creta 1.6 CRDi SX Option,2015,60000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5,Hyundai,11,822000
Renault Duster 110PS Diesel RxL,2013,100000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5,Renault,13,345000
Maruti Zen LXI,2001,10000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5,Maruti,25,30000
Maruti Swift VDI,2012,50000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,Maruti,14,330000
Maruti Wagon R Stingray VXI,2014,74537,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5,Maruti,12,300000
Maruti SX4 ZXI AT,2009,90000,Petrol,Individual,Automatic,Second Owner,12.6,1586.0,103.3,5,Maruti,17,200000
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,80000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,82.0,5,Tata,14,200000
Chevrolet Spark 1.0,2010,70000,Petrol,Individual,Manual,Second Owner,18.0,995.0,62.0,5,Chevrolet,16,90000
Maruti Wagon R VXI Minor,2010,80000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5,Maruti,16,200000
Hyundai Xcent 1.1 CRDi SX,2016,35000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.0,5,Hyundai,10,550000
Chevrolet Beat LT,2015,23500,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,5,Chevrolet,11,250000
Honda City i-DTEC VX,2017,82000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5,Honda,9,975000
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,100000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,8,Toyota,12,900000
Hyundai i20 1.2 Spotz,2018,15000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5,Hyundai,8,610000
Maruti Baleno Zeta 1.3,2017,30000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5,Maruti,9,620000
Hyundai Grand i10 Sportz,2016,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5,Hyundai,10,400000
Maruti Celerio X ZXI BSIV,2019,11000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.0,5,Maruti,7,500000
Datsun GO Plus T,2017,140000,Petrol,Individual,Manual,First Owner,19.02,1198.0,67.05,7,Datsun,9,200000
Tata Zest Quadrajet 1.3 XM,2016,110000,Diesel,Individual,Manual,First Owner,23.0,1248.0,88.7,5,Tata,10,360000
Maruti Alto K10 2010-2014 VXI,2012,48000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5,Maruti,14,252000
Maruti Swift VDI,2012,70000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,Maruti,14,280000
Maruti Swift VXI 2018,2018,70000,Petrol,Individual,Manual,Second Owner,22.0,1197.0,81.8,5,Maruti,8,509999
Mahindra Scorpio 1.99 S6 Plus,2016,58000,Diesel,Individual,Manual,First Owner,15.4,1997.0,120.0,7,Mahindra,10,1050000
Maruti Wagon R LXI DUO BSIII,2010,40000,LPG,Individual,Manual,Fourth & Above Owner,17.3,1061.0,57.5,5,Maruti,16,200000
Maruti Zen LXI,2005,90000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5,Maruti,21,60000
Mahindra Xylo E8 ABS Airbag,2010,40000,Diesel,Individual,Manual,Second Owner,14.0,2498.0,112.0,7,Mahindra,16,320000
Mahindra Scorpio LX,2013,110000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9,Mahindra,13,520000
Tata New Safari DICOR 2.2 LX 4x2,2007,80000,Diesel,Individual,Manual,Second Owner,11.57,2179.0,138.1,7,Tata,19,250000
Maruti Vitara Brezza ZDi,2017,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,Maruti,9,725000
Mahindra Bolero 2011-2019 SLX,2015,50000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7,Mahindra,11,585000
Tata Tiago 1.2 Revotron XZ,2017,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5,Tata,9,430000
Maruti Swift VDI,2011,100000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,Maruti,15,235000
Maruti Swift Dzire VDi,2012,52000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5,Maruti,14,350000
Hyundai i10 Era 1.1,2010,80000,Petrol,Individual,Manual,Third Owner,19.81,1086.0,68.05,5,Hyundai,16,131000
Honda Amaze VX i-DTEC,2016,85000,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,5,Honda,10,450000
Maruti Vitara Brezza ZDi Plus,2016,83000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,Maruti,10,750000
Maruti Alto 800 LXI,2013,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5,Maruti,13,200000
Maruti Wagon R LXI Minor,2009,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061.0,67.0,5,Maruti,17,125000
Mahindra Bolero 2011-2019 SLE,2014,100000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7,Mahindra,12,500000
Maruti Swift VDI,2012,70000,Diesel,Individual,Manual,Third Owner,22.9,1248.0,74.0,5,Maruti,14,380000
Maruti Alto LXi,2008,19000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5,Maruti,18,128000
Honda City 1.5 S MT,2009,68600,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5,Honda,17,250000
Mahindra Bolero Power Plus SLX,2017,60000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7,Mahindra,9,690000
Mahindra Bolero 2011-2019 SLX,2014,65000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7,Mahindra,12,650000
Honda City E,2012,40000,Petrol,Individual,Manual,Second Owner,16.8,1497.0,116.3,5,Honda,14,560000
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,160000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,82.0,5,Tata,14,120000
Maruti Celerio VXI,2016,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5,Maruti,10,400000
Maruti Alto K10 LXI,2012,29500,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5,Maruti,14,200000
Hyundai Verna VTVT 1.6 SX,2018,13887,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5,Hyundai,8,950000
Maruti Alto 800 VXI,2016,50000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5,Maruti,10,300000
Renault KWID RXL,2016,30000,Petrol,Individual,Manual,Second Owner,25.17,799.0,53.3,5,Renault,10,315000
Maruti Alto 800 LXI,2012,100000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5,Maruti,14,220000
Chevrolet Aveo 1.4 LS,2011,60000,Petrol,Individual,Manual,Second Owner,14.49,1399.0,92.7,5,Chevrolet,15,130000
Hyundai i20 Sportz Option 1.4 CRDi,2016,60000,Diesel,Individual,Manual,Second Owner,22.54,1396.0,88.73,5,Hyundai,10,595000
Tata Indica Vista TDI LS,2011,120000,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5,Tata,15,110000
Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,13500,Petrol,Individual,Manual,First Owner,17.0,1497.0,121.36,5,Ford,9,680000
Fiat Grande Punto Active (Diesel),2013,52000,Diesel,Individual,Manual,First Owner,20.3,1248.0,75.0,5,Fiat,13,280000
Maruti Baleno Delta 1.2,2017,30000,Petrol,Individual,Manual,Second Owner,21.4,1197.0,83.1,5,Maruti,9,530000
Hyundai Xcent 1.2 Kappa SX Option,2017,14000,Petrol,Individual,Manual,First Owner,19.1,1197.0,82.0,5,Hyundai,9,610000
Tata Aria Pure LX 4x2,2014,90000,Diesel,Individual,Manual,Second Owner,15.05,2179.0,147.9,7,Tata,12,500000
Tata Tigor 1.05 Revotorq XM,2018,50000,Diesel,Individual,Manual,First Owner,24.7,1047.0,69.0,5,Tata,8,500000
Mahindra Xylo D2,2010,120000,Diesel,Individual,Manual,Second Owner,13.0,2489.0,95.0,8,Mahindra,16,250000
Hyundai EON Magna Plus,2018,10000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5,Hyundai,8,325000
Maruti Baleno Delta 1.2,2018,10000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5,Maruti,8,550000
Maruti Ciaz 1.4 Alpha,2018,25000,Petrol,Individual,Manual,First Owner,20.73,1373.0,91.1,5,Maruti,8,720000
Hyundai Verna VTVT 1.6 SX,2017,20000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5,Hyundai,9,950000
Maruti Swift VDI,2013,60000,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,5,Maruti,13,350000
Hyundai Grand i10 1.2 Kappa Sportz Option,2018,40000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5,Hyundai,8,500000
Maruti Swift Dzire VDi,2012,60000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5,Maruti,14,380000
Hyundai Xcent 1.2 Kappa AT SX Option,2015,50000,Petrol,Individual,Automatic,First Owner,16.9,1197.0,82.0,5,Hyundai,11,380000
Hyundai Verna VTVT 1.6 SX,2017,20000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5,Hyundai,9,900000
Maruti Alto 800 VXI,2017,35000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5,Maruti,9,295000
Maruti Ciaz VDi Plus SHVS,2016,40000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5,Maruti,10,640000
Tata Nexon 1.5 Revotorq XZ Plus,2018,60000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5,Tata,8,790000
Hyundai Verna 1.6 VTVT S Option,2015,20000,Petrol,Individual,Manual,First Owner,17.01,1591.0,121.4,5,Hyundai,11,625000
Ford EcoSport 1.5 Petrol Trend BSIV,2017,30000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,121.36,5,Ford,9,604000
Maruti Alto K10 VXI,2015,29000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5,Maruti,11,315000
Mahindra XUV300 W6 Diesel BSIV,2019,17000,Diesel,Individual,Manual,First Owner,20.0,1497.0,115.0,5,Mahindra,7,950000
Maruti Wagon R VXI Plus Optional,2017,50000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5,Maruti,9,400000
Hyundai i20 1.4 Magna AT,2018,42000,Petrol,Individual,Automatic,First Owner,18.6,1368.0,98.63,5,Hyundai,8,700000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,120000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,8,Toyota,15,700000
Mahindra Verito 1.5 D4 BSIV,2012,110000,Diesel,Individual,Manual,First Owner,21.03,1461.0,65.0,5,Mahindra,14,260000
Tata Indigo CR4,2012,90000,Diesel,Individual,Manual,First Owner,23.57,1396.0,70.0,5,Tata,14,200000
Maruti Dzire VXI,2020,70000,Petrol,Individual,Manual,First Owner,23.26,1197.0,88.5,5,Maruti,6,580000
Volkswagen Vento IPL II Diesel Trendline,2011,66000,Diesel,Individual,Manual,Second Owner,20.5,1598.0,105.0,5,Volkswagen,15,330000
Hyundai Verna Transform CRDi VGT SX ABS,2011,70000,Diesel,Individual,Manual,Third Owner,16.2,1493.0,110.0,5,Hyundai,15,400000
Hyundai Creta 1.6 SX Automatic,2018,5000,Petrol,Individual,Automatic,First Owner,14.8,1591.0,121.3,5,Hyundai,8,1350000
Mahindra Verito 1.5 D4 BSIV,2014,50000,Diesel,Individual,Manual,Second Owner,21.03,1461.0,65.0,5,Mahindra,12,250000
Skoda Rapid 1.6 MPI Ambition BSIV,2019,25000,Petrol,Individual,Manual,First Owner,15.41,1598.0,103.2,5,Skoda,7,725000
Maruti Swift Dzire Tour LDI,2013,70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5,Maruti,13,300000
Maruti 800 AC,2006,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4,Maruti,20,120000
Mahindra XUV500 W10 2WD,2016,110000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7,Mahindra,10,1175000
Tata New Safari DICOR 2.2 VX 4x4,2009,150000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.0,7,Tata,17,380000
Tata Indica Vista TDI LX,2014,45000,Diesel,Individual,Manual,First Owner,19.1,1405.0,70.0,5,Tata,12,400000
Tata Indigo LX,2005,90000,Diesel,Individual,Manual,Third Owner,16.1,1405.0,70.0,5,Tata,21,140000
Tata New Safari DICOR 2.2 EX 4x2,2011,140000,Diesel,Individual,Manual,Second Owner,11.57,2179.0,138.1,7,Tata,15,229999
Ford Ikon 1.3 CLXi,2003,83000,Petrol,Individual,Manual,Second Owner,13.8,1299.0,70.0,5,Ford,23,110000
Volkswagen Jetta 2.0L TDI Highline AT,2011,106000,Diesel,Individual,Automatic,Second Owner,16.96,1968.0,138.1,5,Volkswagen,15,550000
Chevrolet Aveo U-VA 1.2 LS,2008,60000,Petrol,Individual,Manual,Fourth & Above Owner,15.26,1150.0,74.9,5,Chevrolet,18,150000
Maruti Omni E MPI STD BS IV,2017,40000,Petrol,Individual,Manual,Second Owner,16.8,796.0,34.2,8,Maruti,9,265000
Hyundai i20 1.2 Asta,2011,138000,Petrol,Individual,Manual,Third Owner,17.0,1197.0,80.0,5,Hyundai,15,300000
Maruti Alto 800 LXI,2015,80000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5,Maruti,11,280000
Hyundai Getz GLS,2005,50000,Petrol,Individual,Manual,Second Owner,15.3,1341.0,83.0,5,Hyundai,21,130000
Chevrolet Sail 1.2 LS ABS,2015,50000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5,Chevrolet,11,350000
Maruti Ritz VXi,2009,120000,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,5,Maruti,17,200000
Maruti Swift VXI,2018,24400,Petrol,Individual,Manual,First Owner,22.0,1197.0,81.8,5,Maruti,8,550000
Mahindra Bolero 2011-2019 SLX,2013,60000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7,Mahindra,13,400000
Maruti Ritz VXi (ABS) BS IV,2010,120000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,85.8,5,Maruti,16,170000
Hyundai Verna 1.4 CRDi,2015,60000,Diesel,Individual,Manual,Second Owner,24.8,1396.0,88.7,5,Hyundai,11,600000
Maruti Alto LXi,2011,100000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,Maruti,15,130000
Hyundai Santro Xing GL PLUS CNG,2007,60000,CNG,Individual,Manual,Second Owner,19.3,1248.0,82.0,5,Hyundai,19,120000
Maruti 800 AC,2011,120000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4,Maruti,15,100000
Renault KWID RXT,2016,27500,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5,Renault,10,310000
Maruti 800 AC,2007,10000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4,Maruti,19,35000
Hyundai i20 Magna,2010,120000,Petrol,Individual,Manual,Third Owner,18.5,1197.0,80.0,5,Hyundai,16,200000
Maruti Swift VDI BSIV,2009,70000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,82.0,5,Maruti,17,270000
Hyundai i20 Sportz 1.4 CRDi,2015,80000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5,Hyundai,11,650000
Tata Indigo eCS GLS,2013,120000,Petrol,Individual,Manual,First Owner,15.64,1193.0,64.1,5,Tata,13,210000
Hyundai Xcent 1.1 CRDi S Option,2015,90000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.01,5,Hyundai,11,509999
Ford Figo Diesel Celebration Edition,2013,70000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5,Ford,13,229999
Renault Duster 110PS Diesel RxZ,2014,188000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5,Renault,12,409999
Chevrolet Spark 1.0 LT,2011,67840,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,5,Chevrolet,15,130000
Tata Nano CX,2013,30000,Petrol,Individual,Manual,First Owner,25.4,624.0,37.48,4,Tata,13,95000
Maruti Alto 800 LXI,2016,35000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5,Maruti,10,225000
Maruti Swift VDI BSIV,2010,150000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,82.0,5,Maruti,16,256999
Maruti Vitara Brezza VDi Option,2017,100000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,Maruti,9,775000
Maruti Wagon R VXI BS IV,2017,30000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5,Maruti,9,420000
Hyundai Grand i10 Sportz Celebration Edition,2016,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5,Hyundai,10,480000
Toyota Qualis GS G1,2003,149032,Diesel,Individual,Manual,First Owner,19.3,1248.0,82.0,5,Toyota,23,200000
Mahindra Bolero SLE,2010,380000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7,Mahindra,16,260000
Toyota Etios Liva G,2011,84050,Petrol,Individual,Manual,First Owner,19.3,1248.0,82.0,5,Toyota,15,210000
Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,2018,15000,Petrol,Individual,Manual,First Owner,16.2,1199.0,74.0,5,Volkswagen,8,600000
Ford Ikon 1.4 TDCi DuraTorq,2009,140000,Diesel,Individual,Manual,Second Owner,13.8,1399.0,68.0,5,Ford,17,140000
Maruti Omni 8 Seater BSII,2010,120000,Petrol,Individual,Manual,Third Owner,19.7,796.0,35.0,8,Maruti,16,130000
Maruti Swift VDI BSIV,2007,112880,Diesel,Dealer,Manual,First Owner,25.2,1248.0,74.0,5,Maruti,19,195000
Tata Indica Vista TDI LS,2013,135000,Diesel,Dealer,Manual,Second Owner,19.4,1405.0,70.0,5,Tata,13,210000
Maruti Wagon R LX,2006,80000,Petrol,Individual,Manual,Third Owner,18.9,998.0,67.1,5,Maruti,20,130000
Chevrolet Beat LT,2012,128000,Petrol,Individual,Manual,Third Owner,18.6,1199.0,79.4,5,Chevrolet,14,141000
Mahindra Bolero SLE BSIII,2011,120000,Diesel,Individual,Manual,First Owner,13.6,2523.0,63.0,7,Mahindra,15,280000
Maruti SX4 ZXI AT Leather,2010,30000,Petrol,Individual,Automatic,First Owner,12.6,1586.0,103.2,5,Maruti,16,350000
Tata Nexon 1.2 Revotron XM,2018,70000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5,Tata,8,575000
Hyundai i20 Sportz Option 1.2,2015,41000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5,Hyundai,11,550000
Toyota Etios V,2011,28100,Petrol,Individual,Manual,First Owner,19.3,1248.0,82.0,5,Toyota,15,420000
Maruti Alto LX,2006,30000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,Maruti,20,120000
Maruti Alto K10 VXI,2015,30000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5,Maruti,11,320000
Hyundai Accent Executive,2011,35000,Petrol,Individual,Manual,First Owner,16.36,1495.0,93.7,5,Hyundai,15,250000
Maruti SX4 Zxi BSIII,2010,22000,Petrol,Individual,Manual,First Owner,15.0,1586.0,104.68,5,Maruti,16,300000
Maruti Wagon R VXI,2006,70000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5,Maruti,20,250000
Maruti Omni E 8 Str STD,2005,100000,Petrol,Individual,Manual,Second Owner,19.3,1248.0,82.0,5,Maruti,21,120000
Mahindra Bolero 2011-2019 mHAWK D70 ZLX,2018,70000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7,Mahindra,8,750000
Mahindra Scorpio 2.6 CRDe,2005,200000,Diesel,Individual,Manual,Second Owner,10.5,2179.0,120.0,8,Mahindra,21,151000
Tata Safari DICOR 2.2 EX 4x2,2011,120000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.03,7,Tata,15,300000
Maruti Ignis 1.2 Zeta BSIV,2019,3000,Petrol,Individual,Manual,First Owner,20.89,1197.0,81.8,5,Maruti,7,577000
Maruti Alto K10 2010-2014 VXI,2012,50000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5,Maruti,14,229999
Mahindra Bolero 2011-2019 ZLX,2013,50000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7,Mahindra,13,500000
Honda Jazz VX CVT,2019,1500,Petrol,Individual,Automatic,First Owner,18.2,1199.0,88.7,5,Honda,7,840000
Volkswagen Vento 1.5 TDI Highline,2017,74000,Diesel,Individual,Manual,First Owner,22.27,1498.0,108.6,5,Volkswagen,9,900000
Honda Jazz 1.2 V i VTEC,2017,25000,Petrol,Individual,Manual,First Owner,18.7,1199.0,88.7,5,Honda,9,650000
Honda Jazz 1.5 VX i DTEC,2016,61915,Diesel,Individual,Manual,First Owner,27.3,1498.0,98.6,5,Honda,10,650000
Hyundai EON Era Plus,2016,110000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5,Hyundai,10,250000
Volkswagen Polo 1.5 TDI Comfortline,2016,70000,Diesel,Individual,Manual,First Owner,20.14,1498.0,88.0,5,Volkswagen,10,550000
Maruti Swift Ldi BSIII,2007,150000,Diesel,Individual,Manual,Fourth & Above Owner,17.8,1248.0,75.0,5,Maruti,19,250000
Mahindra Quanto C4,2013,110000,Diesel,Individual,Manual,Second Owner,17.21,1493.0,100.0,7,Mahindra,13,350000
Chevrolet Beat Diesel LT,2014,90000,Diesel,Individual,Manual,Second Owner,25.44,936.0,56.3,5,Chevrolet,12,185000
Ford Figo Petrol Titanium,2010,120000,Petrol,Individual,Manual,Third Owner,15.6,1196.0,70.0,5,Ford,16,229999
Toyota Innova 2.5 G (Diesel) 8 Seater,2016,65000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8,Toyota,10,1000000
Maruti Wagon R VXI 1.2,2019,10000,Petrol,Individual,Manual,First Owner,20.52,1197.0,81.8,5,Maruti,7,490000
Hyundai i10 Sportz,2009,80000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5,Hyundai,17,150000
Maruti Ertiga VDI,2013,184000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7,Maruti,13,600000
Maruti Wagon R CNG LXI,2013,80000,CNG,Individual,Manual,Second Owner,32.52,998.0,58.33,5,Maruti,13,270000
Maruti Zen LXi - BS III,2005,70000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5,Maruti,21,60000
Maruti SX4 Zxi with Leather BSIII,2008,89000,Petrol,Individual,Manual,Second Owner,15.6,1586.0,104.68,5,Maruti,18,150000
Maruti Swift VDI,2013,69000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,Maruti,13,525000
Tata Indica V2 eLX,2012,90000,Diesel,Individual,Manual,Second Owner,25.0,1396.0,69.0,5,Tata,14,83000
Hyundai EON Era Plus,2017,8000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5,Hyundai,9,300000
Hyundai i20 1.2 Sportz,2012,35000,Petrol,Individual,Manual,First Owner,17.0,1197.0,80.0,5,Hyundai,14,350000
